task,disease,n_pos,n_neg,prevalence,n_ineligible_or_censored,prevalence_among_eligible
disease_present_at_encounter_t2dm,t2dm,1625,18181,0.08204584469352721,,
new_disease_within_6_months_t2dm,t2dm,661,14759,,4386.0,0.04286640726329442
new_disease_within_12_months_t2dm,t2dm,1156,12402,,6248.0,0.08526331317303437
new_disease_within_36_months_t2dm,t2dm,2066,6675,,11065.0,0.2363573961789269
disease_present_at_encounter_ckd,ckd,1221,18585,0.06164798545895183,,
new_disease_within_6_months_ckd,ckd,435,15446,,3925.0,0.02739122221522574
new_disease_within_12_months_ckd,ckd,783,13036,,5987.0,0.056661118749547726
new_disease_within_36_months_ckd,ckd,1418,7045,,11343.0,0.16755287723029658
disease_present_at_encounter_cad,cad,1510,18296,0.07623952337675452,,
new_disease_within_6_months_cad,cad,603,15056,,4147.0,0.038508206143431895
new_disease_within_12_months_cad,cad,978,12710,,6118.0,0.07144944476914085
new_disease_within_36_months_cad,cad,1711,6851,,11244.0,0.19983648680214902
disease_present_at_encounter_hf,hf,1123,18683,0.056699989902049885,,
new_disease_within_6_months_hf,hf,385,15566,,3855.0,0.024136417779449564
new_disease_within_12_months_hf,hf,670,13120,,6016.0,0.048585931834662796
new_disease_within_36_months_hf,hf,1264,7072,,11470.0,0.15163147792706333
disease_present_at_encounter_htn,htn,2361,17445,0.11920630112087247,,
new_disease_within_6_months_htn,htn,945,13752,,5109.0,0.06429883649724434
new_disease_within_12_months_htn,htn,1608,11522,,6676.0,0.12246763137852247
new_disease_within_36_months_htn,htn,2938,6071,,10797.0,0.32611832611832614
disease_present_at_encounter_copd,copd,415,19391,0.020953246490962335,,
new_disease_within_6_months_copd,copd,156,16490,,3160.0,0.009371620809804157
new_disease_within_12_months_copd,copd,269,14042,,5495.0,0.018796729788274753
new_disease_within_36_months_copd,copd,565,7666,,11575.0,0.06864293524480622
disease_present_at_encounter_cld_masld,cld_masld,1413,18393,0.07134201757043321,,
new_disease_within_6_months_cld_masld,cld_masld,570,15127,,4109.0,0.03631267121105944
new_disease_within_12_months_cld_masld,cld_masld,948,12763,,6095.0,0.06914156516665451
new_disease_within_36_months_cld_masld,cld_masld,1790,6873,,11143.0,0.2066258801800762
disease_present_at_encounter_ra,ra,125,19681,0.006311218822579017,,
new_disease_within_6_months_ra,ra,36,16934,,2836.0,0.002121390689451974
new_disease_within_12_months_ra,ra,71,14410,,5325.0,0.004902976313790484
new_disease_within_36_months_ra,ra,143,7950,,11713.0,0.01766959100457185
disease_present_at_encounter_hypothyroid,hypothyroid,329,19477,0.01661112794102797,,
new_disease_within_6_months_hypothyroid,hypothyroid,110,16638,,3058.0,0.006567948411750657
new_disease_within_12_months_hypothyroid,hypothyroid,171,14159,,5476.0,0.011933007676203769
new_disease_within_36_months_hypothyroid,hypothyroid,328,7793,,11685.0,0.04038911464105406
disease_present_at_encounter_alzheimers,alzheimers,342,19464,0.017267494698576188,,
new_disease_within_6_months_alzheimers,alzheimers,137,16582,,3087.0,0.008194269992224416
new_disease_within_12_months_alzheimers,alzheimers,235,14106,,5465.0,0.016386583920228716
new_disease_within_36_months_alzheimers,alzheimers,447,7757,,11602.0,0.05448561677230619
hospitalization_within_12_months,any,1452,17903,,,0.07501937483854301
