analyte,encounters_with_result,coverage_rate
fasting_plasma_glucose,16736,0.8449964657174593
random_plasma_glucose,5876,0.2966777744117944
hba1c,13458,0.6794910633141472
fasting_insulin,67,0.0033828132889023527
c_peptide,70,0.003534282540644249
triglycerides,11040,0.5574068464101787
hdl_c,11040,0.5574068464101787
ldl_c,11040,0.5574068464101787
total_cholesterol,11040,0.5574068464101787
serum_creatinine,16856,0.8510552357871353
egfr,16827,0.8495910330202969
bun,16845,0.8504998485307482
uacr,6220,0.31404624861153185
urine_albumin,6220,0.31404624861153185
urine_creatinine,6220,0.31404624861153185
sodium,16740,0.8451984247197819
potassium,16819,0.8491871150156518
bicarbonate,16954,0.8560032313440371
phosphate,246,0.012420478642835504
calcium,246,0.012420478642835504
hemoglobin,16836,0.8500454407755226
hs_crp,2985,0.15071190548318691
crp,506,0.025547813793799858
esr,506,0.025547813793799858
nt_probnp,690,0.03483792790063617
troponin_hs,41,0.002070079773805917
apo_b,1377,0.06952438654953044
lp_a,876,0.04422902150863375
alt,12492,0.6307179642532565
ast,12492,0.6307179642532565
alp,7498,0.37857214985357973
ggt,7498,0.37857214985357973
total_bilirubin,7498,0.37857214985357973
direct_bilirubin,155,0.00782591133999798
albumin,7649,0.38619610219125516
inr,155,0.00782591133999798
platelet_count,16797,0.848076340502878
wbc,16863,0.8514086640411996
eosinophils,88,0.004443098051095627
fev1_pct_predicted,5103,0.25764919721296575
fvc_pct_predicted,5103,0.25764919721296575
fev1_fvc_ratio,5103,0.25764919721296575
spo2,10042,0.5070180753307079
rf,506,0.025547813793799858
anti_ccp,455,0.02297283651418762
tsh,4221,0.21311723720084821
free_t4,139,0.007018075330707866
free_t3,65,0.0032818337877410886
tpo_ab,78,0.003938200545289306
mmse,1078,0.054427951125921435
moca,1391,0.07023124305765929
faq,49,0.0024739977784509746
